night,location,width_filter,off_lyi,off_sit,lyi_off,lyi_sit,sit_off,sit_lyi,total
0.0,chest,0,562,0,561,0,0,0,1123
0.0,chest,60,17,0,16,0,0,0,33
0.0,chest,180,13,0,12,0,0,0,25
0.0,chest,300,5,0,4,0,0,0,9
0.0,chest,420,5,0,4,0,0,0,9
0.0,chest,540,5,0,4,0,0,0,9
0.0,chest,660,3,0,3,0,0,0,6
0.0,chest,780,3,0,3,0,0,0,6
0.0,chest,900,2,0,2,0,0,0,4
1.0,chest,0,59,0,60,0,0,0,119
1.0,chest,60,13,0,14,0,0,0,27
1.0,chest,180,12,0,13,0,0,0,25
1.0,chest,300,8,0,9,0,0,0,17
1.0,chest,420,6,0,7,0,0,0,13
1.0,chest,540,5,0,6,0,0,0,11
1.0,chest,660,2,0,3,0,0,0,5
1.0,chest,780,2,0,3,0,0,0,5
1.0,chest,900,2,0,3,0,0,0,5
2.0,chest,0,21,0,21,0,0,0,42
2.0,chest,60,7,0,7,0,0,0,14
2.0,chest,180,4,0,4,0,0,0,8
2.0,chest,300,2,0,2,0,0,0,4
2.0,chest,420,2,0,2,0,0,0,4
2.0,chest,540,2,0,2,0,0,0,4
2.0,chest,660,2,0,2,0,0,0,4
2.0,chest,780,2,0,2,0,0,0,4
2.0,chest,900,2,0,2,0,0,0,4
3.0,chest,0,21,0,20,0,0,0,41
3.0,chest,60,9,0,8,0,0,0,17
3.0,chest,180,3,0,2,0,0,0,5
3.0,chest,300,2,0,1,0,0,0,3
3.0,chest,420,2,0,1,0,0,0,3
3.0,chest,540,2,0,1,0,0,0,3
3.0,chest,660,2,0,1,0,0,0,3
3.0,chest,780,1,0,0,0,0,0,1
3.0,chest,900,1,0,0,0,0,0,1
4.0,chest,0,24,0,24,0,0,0,48
4.0,chest,60,0,0,0,0,0,0,0
4.0,chest,180,0,0,0,0,0,0,0
4.0,chest,300,0,0,0,0,0,0,0
4.0,chest,420,0,0,0,0,0,0,0
4.0,chest,540,0,0,0,0,0,0,0
4.0,chest,660,0,0,0,0,0,0,0
4.0,chest,780,0,0,0,0,0,0,0
4.0,chest,900,0,0,0,0,0,0,0
5.0,chest,0,14,0,15,65,0,65,159
5.0,chest,60,5,0,5,2,1,1,14
5.0,chest,180,5,0,5,1,1,0,12
5.0,chest,300,3,0,3,0,0,0,6
5.0,chest,420,3,0,3,0,0,0,6
5.0,chest,540,3,0,3,0,0,0,6
5.0,chest,660,2,0,3,0,0,0,5
5.0,chest,780,2,0,3,0,0,0,5
5.0,chest,900,0,0,1,0,0,0,1
6.0,chest,0,14,0,13,2,0,2,31
6.0,chest,60,12,0,11,0,0,0,23
6.0,chest,180,8,0,8,0,0,0,16
6.0,chest,300,3,0,3,0,0,0,6
6.0,chest,420,3,0,3,0,0,0,6
6.0,chest,540,3,0,3,0,0,0,6
6.0,chest,660,3,0,2,0,0,0,5
6.0,chest,780,2,0,1,0,0,0,3
6.0,chest,900,1,0,0,0,0,0,1
0.0,thigh,0,10,1,11,1,0,2,25
0.0,thigh,60,4,0,4,0,0,0,8
0.0,thigh,180,4,0,4,0,0,0,8
0.0,thigh,300,3,0,2,0,0,0,5
0.0,thigh,420,2,0,1,0,0,0,3
0.0,thigh,540,1,0,0,0,0,0,1
0.0,thigh,660,0,0,0,0,0,0,0
0.0,thigh,780,0,0,0,0,0,0,0
0.0,thigh,900,0,0,0,0,0,0,0
1.0,thigh,0,12,0,11,2,1,1,27
1.0,thigh,60,2,0,2,0,0,0,4
1.0,thigh,180,2,0,2,0,0,0,4
1.0,thigh,300,1,0,1,0,0,0,2
1.0,thigh,420,1,0,1,0,0,0,2
1.0,thigh,540,0,0,0,0,0,0,0
1.0,thigh,660,0,0,0,0,0,0,0
1.0,thigh,780,0,0,0,0,0,0,0
1.0,thigh,900,0,0,0,0,0,0,0
2.0,thigh,0,17,0,18,0,0,0,35
2.0,thigh,60,10,0,11,0,0,0,21
2.0,thigh,180,8,0,9,0,0,0,17
2.0,thigh,300,4,0,5,0,0,0,9
2.0,thigh,420,3,0,4,0,0,0,7
2.0,thigh,540,3,0,4,0,0,0,7
2.0,thigh,660,3,0,4,0,0,0,7
2.0,thigh,780,3,0,4,0,0,0,7
2.0,thigh,900,2,0,3,0,0,0,5
3.0,thigh,0,10,0,9,1,0,1,21
3.0,thigh,60,8,0,7,0,0,0,15
3.0,thigh,180,7,0,6,0,0,0,13
3.0,thigh,300,4,0,3,0,0,0,7
3.0,thigh,420,4,0,3,0,0,0,7
3.0,thigh,540,1,0,0,0,0,0,1
3.0,thigh,660,1,0,0,0,0,0,1
3.0,thigh,780,1,0,0,0,0,0,1
3.0,thigh,900,1,0,0,0,0,0,1
4.0,thigh,0,3,0,3,3,0,3,12
4.0,thigh,60,2,0,2,0,0,0,4
4.0,thigh,180,2,0,2,0,0,0,4
4.0,thigh,300,1,0,1,0,0,0,2
4.0,thigh,420,1,0,1,0,0,0,2
4.0,thigh,540,0,0,0,0,0,0,0
4.0,thigh,660,0,0,0,0,0,0,0
4.0,thigh,780,0,0,0,0,0,0,0
4.0,thigh,900,0,0,0,0,0,0,0
5.0,thigh,0,11,1,13,1,0,2,28
5.0,thigh,60,9,0,10,0,0,0,19
5.0,thigh,180,7,0,8,0,0,0,15
5.0,thigh,300,3,0,3,0,0,0,6
5.0,thigh,420,3,0,3,0,0,0,6
5.0,thigh,540,3,0,3,0,0,0,6
5.0,thigh,660,0,0,1,0,0,0,1
5.0,thigh,780,0,0,1,0,0,0,1
5.0,thigh,900,0,0,1,0,0,0,1
6.0,thigh,0,14,0,14,0,0,0,28
6.0,thigh,60,13,0,13,0,0,0,26
6.0,thigh,180,11,0,12,0,0,0,23
6.0,thigh,300,4,0,5,0,0,0,9
6.0,thigh,420,2,0,3,0,0,0,5
6.0,thigh,540,1,0,2,0,0,0,3
6.0,thigh,660,0,0,1,0,0,0,1
6.0,thigh,780,0,0,1,0,0,0,1
6.0,thigh,900,0,0,1,0,0,0,1
